Assemblage,SC,t,Method,Order.q,qD
pre_dist,0.366740105,1,Rarefaction,0,10.95004149
pre_dist,0.526875758,2,Rarefaction,0,17.88416279
pre_dist,0.618238256,3,Rarefaction,0,23.06489838
pre_dist,0.679225058,4,Rarefaction,0,27.24511605
pre_dist,0.723342786,5,Rarefaction,0,30.75769271
pre_dist,0.756743923,6,Rarefaction,0,33.78701808
pre_dist,0.782783487,7,Rarefaction,0,36.45073979
pre_dist,0.803513205,8,Rarefaction,0,38.82924183
pre_dist,0.820304386,9,Rarefaction,0,40.98074853
pre_dist,0.834124279,10,Rarefaction,0,42.9484126
pre_dist,0.845679572,11,Rarefaction,0,44.7647525
pre_dist,0.855497665,12,Rarefaction,0,46.45451325
pre_dist,0.863978302,13,Rarefaction,0,48.03683329
pre_dist,0.871424815,14,Rarefaction,0,49.52624722
pre_dist,0.878069455,15,Rarefaction,0,50.93420748
pre_dist,0.884086965,16,Rarefaction,0,52.26932686
pre_dist,0.889609849,17,Rarefaction,0,53.53859155
pre_dist,0.899543379,18,Rarefaction,0,55.30885301
pre_dist,0.899543379,18,Rarefaction,0,55.16188076
pre_dist,0.904130439,20,Observed,0,57
post_dist,0.314515406,1,Rarefaction,0,12.35016211
post_dist,0.49378511,2,Rarefaction,0,20.81579129
post_dist,0.604385507,3,Rarefaction,0,27.067379
post_dist,0.678180632,4,Rarefaction,0,31.95336401
post_dist,0.730705574,5,Rarefaction,0,35.92782946
post_dist,0.769947213,6,Rarefaction,0,39.25350073
post_dist,0.800333525,7,Rarefaction,0,42.09470561
post_dist,0.824506342,8,Rarefaction,0,44.56061379
post_dist,0.84413645,9,Rarefaction,0,46.72794065
post_dist,0.860317531,10,Rarefaction,0,48.65279663
post_dist,0.873784094,11,Rarefaction,0,50.37790271
post_dist,0.885039221,12,Rarefaction,0,51.93665416
post_dist,0.894439873,13,Rarefaction,0,53.35642203
post_dist,0.902246643,14,Rarefaction,0,54.6600764
post_dist,0.908658176,15,Rarefaction,0,55.86736614
post_dist,0.913830513,16,Rarefaction,0,56.99539409
post_dist,0.917891774,17,Rarefaction,0,58.05961234
post_dist,0.920945958,18,Rarefaction,0,59.07362134
post_dist,0.923076923,18,Rarefaction,0,59.4399516
post_dist,0.925150321,20,Observed,0,61
