PlotID,plot,sampling_stage,season,jackknife,canopy_total,leaf_litter_total,avg_high_canopy_height,avg_mid_canopy_height,avg_understory_height,FHD
FORAKO1-01,F1,pre-disturbance,post-winter,3.273684,81,70,20.1,10.5,1,0.608558302
FORAKO1-02,F1,pre-disturbance,pre-winter,3.589474,78,72,20.1,10.5,1.5,0.558169578
FORAKO1-03,F1,pre-disturbance,post-winter,3.484211,76,67,20.1,10.5,1,0.683625885
FORAKO1-04,F1,pre-disturbance,post-winter,3.431579,79,68,20.1,10.5,1,0.658673423
FORAKO1-05,F1,post-disturbance,pre-winter,4.847368,74,46,21.4,11,0.5,0.879083131
FORAKO1-06,F1,post-disturbance,pre-winter,5.163158,70,44,21.4,11,0.5,0.879083131
FORAKO1-07,F1,post-disturbance,post-winter,5.268421,70,29,21.4,11,0.5,1
FORAKO1-08,F1,post-disturbance,post-winter,5.215789,71,28,21.4,11,0.2,0.975984665
FORAKU2-01,F2,pre-disturbance,pre-winter,3.326316,77,60,18.25,11.25,1.5,0.43463288
FORAKU2-02,F2,pre-disturbance,pre-winter,3.484211,77,60,18.25,11.25,1.5,0.511287095
FORAKU2-03,F2,pre-disturbance,post-winter,3.326316,75,55,18.25,11.25,1.7,0.562072098
FORAKU2-04,F2,pre-disturbance,post-winter,3.273684,75,56,18.25,11.25,1.7,0.587366669
FORAKU2-05,F2,post-disturbance,pre-winter,4.9,71,37,19,12,1.5,0.439518543
FORAKU2-06,F2,post-disturbance,pre-winter,5.057895,71,36,19,12,1,0.413966865
FORAKU2-07,F2,post-disturbance,post-winter,5.057895,71,30,19,12,0.5,0.508870375
FORAKU2-08,F2,post-disturbance,post-winter,5.005263,70,29,19,12,0.2,0.458085372
FORAWO1-01,F3,pre-disturbance,pre-winter,3.326316,78,78,17.24,12,1,0.052334696
FORAWO1-02,F3,pre-disturbance,pre-winter,3.484211,79,75,17.24,12,0.75,0
FORAWO1-03,F3,pre-disturbance,post-winter,3.431579,75,73,17.24,12,1,0.156330717
FORAWO1-04,F3,pre-disturbance,post-winter,3.431579,74,72,17.24,12,1,0.23371701
FORAWO1-05,F3,post-disturbance,pre-winter,4.9,74,59,17.4,12,0.7,0.380777952
FORAWO1-06,F3,post-disturbance,pre-winter,4.794737,73,59,17.4,12,0.5,0.451110583
FORAWO1-07,F3,post-disturbance,post-winter,4.9,70,55,17.4,12,0.5,0.954857101
FORAWO1-08,F3,post-disturbance,post-winter,4.952632,70,55,17.4,12,0.5,0.986681868
FORETA1-01,F4,pre-disturbance,pre-winter,3.326316,77,76,18.13,13.75,1.5,0.736962079
FORETA1-02,F4,pre-disturbance,pre-winter,3.326316,78,77,18.13,13.75,1.5,0.770597101
FORETA1-03,F4,pre-disturbance,post-winter,3.273684,79,73,18.5,13.75,1,0.967922897
FORETA1-04,F4,pre-disturbance,post-winter,3.378947,78,75,18.5,13.75,1,1
FORETA1-05,F4,post-disturbance,pre-winter,4.794737,70,41,22,13.75,0.75,0
FORETA1-06,F4,post-disturbance,pre-winter,4.794737,68,39,22,13.75,0.5,0
FORETA1-07,F4,post-disturbance,post-winter,4.847368,68,38,23.2,13.75,0.5,0.147579614
FORETA1-08,F4,post-disturbance,post-winter,4.794737,67,37,23.2,13.75,0.3,0.147579614
FORLAR1-01,F5,pre-disturbance,pre-winter,3.484211,77,86,26.23,12,1.2,0.466760741
FORLAR1-02,F5,pre-disturbance,pre-winter,3.273684,77,88,26.23,12,1,0.535369582
FORLAR1-03,F5,pre-disturbance,post-winter,3.431579,79,73,18.5,13.75,1,0.533242235
FORLAR1-04,F5,pre-disturbance,post-winter,3.642105,78,79,26.23,12,1,0.567075019
FORLAR1-05,F5,post-disturbance,pre-winter,4.794737,72,47,21.6,11,0.7,0.339418674
FORLAR1-06,F5,post-disturbance,pre-winter,4.794737,72,42,21.6,11,0.5,0.514825264
FORLAR1-07,F5,post-disturbance,post-winter,5.057895,70,39,21.6,11,0.5,0.618008454
FORLAR1-08,F5,post-disturbance,post-winter,5.057895,64,38,21.6,11,0.5,0.652033794
