plotcode,plots,visit,date,sampling_period,season,size_based.qD,coverage_based.qD,Richness,canopy_total,leaf_litter_total,avg_high_canopy_height,avg_mid_canopy_height,avg_understory_height,qD
FORAKO1-01,F1,F1,28/10/2021,pre-disturbance,pre-winter,11,10.95,3,81,70,20.1,10.5,1,10.95004149
FORAKO1-02,F1,F2,08/12/2021,pre-disturbance,pre-winter,18.05,17.88,21,78,72,20.1,10.5,1.5,17.88416279
FORAKO1-03,F1,F3,02/03/2022,pre-disturbance,post-winter,23.35,23.06,13,76,67,20.1,10.5,1,23.06489838
FORAKO1-04,F1,F4,09/03/2022,pre-disturbance,post-winter,27.63,27.25,7,79,68,20.1,10.5,1,27.24511605
FORAKU2-01,F2,F5,25/11/2021,pre-disturbance,pre-winter,41.55,40.98,14,77,60,18.25,11.25,1.5,30.75769271
FORAKU2-02,F2,F6,08/12/2021,pre-disturbance,pre-winter,43.5,42.95,13,77,60,18.25,11.25,1.5,33.78701808
FORAKU2-03,F2,F7,24/02/2022,pre-disturbance,post-winter,45.28,44.76,6,75,55,18.25,11.25,1.7,36.45073979
FORAKU2-04,F2,F8,06/03/2022,pre-disturbance,post-winter,46.92,46.45,9,75,56,18.25,11.25,1.7,38.82924183
FORAWO1-01,F3,F9,20/11/2021,pre-disturbance,pre-winter,53.7,53.54,9,78,78,17.24,12,1,40.98074853
FORAWO1-02,F3,F10,02/12/2021,pre-disturbance,pre-winter,54.85,55.31,17,79,75,17.24,12,0.75,42.9484126
FORAWO1-03,F3,F11,25/02/2022,pre-disturbance,post-winter,55.95,55.16,10,75,73,17.24,12,1,44.7647525
FORAWO1-04,F3,F12,07/03/2022,pre-disturbance,post-winter,57,57,15,74,72,17.24,12,1,46.45451325
FORETA1-01,F4,F13,25/11/2021,pre-disturbance,pre-winter,36.08,35.68,9,77,76,18.13,13.75,1.5,48.03683329
FORETA1-02,F4,F14,08/12/2021,pre-disturbance,pre-winter,39.48,38.95,5,78,77,18.13,13.75,1.5,49.52624722
FORETA1-03,F4,F15,24/02/2022,pre-disturbance,post-winter,42.4,41.74,7,79,73,18.5,13.75,1,50.93420748
FORETA1-04,F4,F16,06/03/2022,pre-disturbance,post-winter,44.94,44.16,10,78,75,18.5,13.75,1,52.26932686
FORLAR1-01,F5,F17,20/11/2021,pre-disturbance,pre-winter,54.14,52.71,17,77,86,26.23,12,1.2,53.53859155
FORLAR1-02,F5,F18,26/11/2021,pre-disturbance,pre-winter,55.5,53.96,12,77,88,26.23,12,1,55.30885301
FORLAR1-03,F5,F19,05/03/2022,pre-disturbance,post-winter,56.76,55.12,9,78,82,26.23,12,1,55.16188076
FORLAR1-04,F5,F20,13/03/2022,pre-disturbance,post-winter,57.93,56.2,18,78,79,26.23,12,1,57
FORAKO1-05,S1,F1,15/11/2022,post-disturbance,pre-winter,31.22,30.76,13,74,46,21.4,11,0.5,12.35016211
FORAKO1-06,S1,F2,22/11/2022,post-disturbance,pre-winter,34.31,33.79,20,70,44,21.4,11,0.5,20.81579129
FORAKO1-07,S1,F3,05/03/2023,post-disturbance,post-winter,37.01,36.45,17,70,29,21.4,11,0.5,27.067379
FORAKO1-08,S1,F4,14/03/2023,post-disturbance,post-winter,39.4,38.83,18,71,28,21.4,11,0.2,31.95336401
FORAKU2-05,S2,F5,16/11/2022,post-disturbance,pre-winter,48.45,48.04,13,71,37,19,12,1.5,35.92782946
FORAKU2-06,S2,F6,23/11/2022,post-disturbance,pre-winter,49.88,49.53,18,71,36,19,12,1,39.25350073
FORAKU2-07,S2,F7,10/03/2023,post-disturbance,post-winter,51.23,50.93,15,71,30,19,12,0.5,42.09470561
FORAKU2-08,S2,F8,17/03/2023,post-disturbance,post-winter,52.5,52.27,19,70,29,19,12,0.2,44.56061379
FORAWO1-05,S3,F9,01/11/2022,post-disturbance,pre-winter,12.35,12.3,8,74,59,17.4,12,0.7,46.72794065
FORAWO1-06,S3,F10,08/11/2022,post-disturbance,pre-winter,20.83,20.72,8,73,59,17.4,12,0.5,48.65279663
FORAWO1-07,S3,F11,04/03/2023,post-disturbance,post-winter,27.11,26.92,8,70,55,17.4,12,0.5,50.37790271
FORAWO1-08,S3,F12,13/03/2023,post-disturbance,post-winter,32.05,31.75,12,70,55,17.4,12,0.5,51.93665416
FORETA1-05,S4,F13,15/11/2022,post-disturbance,pre-winter,47.2,46.28,7,70,41,22,13.75,0.75,53.35642203
FORETA1-06,S4,F14,22/11/2022,post-disturbance,pre-winter,49.21,48.15,8,68,39,22,13.75,0.5,54.6600764
FORETA1-07,S4,F15,10/03/2023,post-disturbance,post-winter,51.01,49.83,8,68,38,23.2,13.75,0.5,55.86736614
FORETA1-08,S4,F16,17/03/2023,post-disturbance,post-winter,52.65,51.34,5,67,37,23.2,13.75,0.3,56.99539409
FORLAR1-05,S5,F17,18/11/2022,post-disturbance,pre-winter,59.03,57.21,8,72,47,21.6,11,0.7,58.05961234
FORLAR1-06,S5,F18,26/11/2022,post-disturbance,pre-winter,60.06,58.17,10,72,42,21.6,11,0.5,59.07362134
FORLAR1-07,S5,F19,09/03/2023,post-disturbance,post-winter,61.05,58.36,17,70,39,21.6,11,0.5,59.4399516
FORLAR1-08,S5,F20,18/03/2023,post-disturbance,post-winter,62,60,16,64,38,21.6,11,0.5,61
